b,acc_val,acc_test
1.000000000000000000e+00,9.437499999999999778e-01,9.549999999999999600e-01
2.000000000000000000e+00,9.375000000000000000e-01,9.200000000000000400e-01
4.000000000000000000e+00,9.187499999999999556e-01,8.249999999999999556e-01
6.000000000000000000e+00,7.125000000000000222e-01,6.850000000000000533e-01
8.000000000000000000e+00,5.875000000000000222e-01,6.199999999999999956e-01
1.000000000000000000e+01,5.312500000000000000e-01,5.699999999999999512e-01
1.200000000000000000e+01,5.000000000000000000e-01,5.500000000000000444e-01
