model,acc_val,acc_test,f1_val,f1_test
LBP,0.78125,0.785,0.7781665183166852,0.7786148149449341
LDP,0.53125,0.56,0.508420001229332,0.5301682785955284
LPQ_R3,0.875,0.87,0.8721346837855377,0.8650419725722454
LPQ_R5,0.91875,0.93,0.9166541910019139,0.9306035687198116
LPQ_R7,0.94375,0.955,0.9441104594330401,0.9548031802203818
VGGish,0.84375,0.805,0.8356192447653548,0.7968879325049444
VGG16_fc6,0.96875,0.96,0.9687194525904204,0.9594954629614451
